Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-31 00:00:00-04:00,37.09303382766979,37.3157104896409,36.938871805107645,36.95600128173828,13264200,0.0,0
2015-04-01 00:00:00-04:00,36.81897508227104,36.93031179889083,36.58773200856858,36.77614974975586,12050900,0.0,0
2015-04-02 00:00:00-04:00,36.94804821190497,37.05118210693983,36.50972342051385,36.63004684448242,11183900,0.15,0
2015-04-06 00:00:00-04:00,36.337836955153534,37.04259135614914,36.27767523398815,36.92226791381836,9766500,0.15,0
2015-04-07 00:00:00-04:00,36.94805385043775,37.36918589859546,36.90507838226141,36.92226791381836,8075400,0.15,0
2015-04-08 00:00:00-04:00,36.82771361415354,37.24884878632696,36.82771361415354,37.05117416381836,6947100,0.15,0
2015-04-09 00:00:00-04:00,36.93086154416396,37.22307700154142,36.73318686396268,37.128536224365234,9399500,0.15,0
2015-04-10 00:00:00-04:00,37.02539136503465,37.721549102661236,37.02539136503465,37.394954681396484,12542800,0.15,0
2015-04-13 00:00:00-04:00,37.429348408906385,37.63561951337087,36.98243041470664,37.02540588378906,10943400,0.15,0
2015-04-14 00:00:00-04:00,36.9910077321404,37.00819725518977,36.535493567747835,36.72457504272461,10510500,0.15,0
2015-04-15 00:00:00-04:00,36.913670690916426,37.97939530063808,36.81053679158765,37.8075065612793,18188700,0.15,0
2015-04-16 00:00:00-04:00,37.549656736336516,37.781710405971594,37.17149702206082,37.35198211669922,11960800,0.15,0
2015-04-17 00:00:00-04:00,37.00821073881559,37.3004261799885,36.8363187242608,36.956642150878906,12473500,0.15,0
2015-04-20 00:00:00-04:00,37.223058184647414,37.65278638834591,37.17148961991983,37.231651306152344,10426300,0.15,0
2015-04-21 00:00:00-04:00,37.394955290222235,37.70436019134554,37.300417818049446,37.317604064941406,9312900,0.15,0
2015-04-22 00:00:00-04:00,37.3949689284876,37.601240030654225,37.24886282665253,37.42934799194336,7343900,0.15,0
2015-04-23 00:00:00-04:00,37.394958223094584,37.49809538393586,36.94804364038374,37.29182434082031,11311000,0.15,0
2015-04-24 00:00:00-04:00,37.309024964038755,37.45513434606943,36.74178352497139,37.02540588378906,17767100,0.15,0
2015-04-27 00:00:00-04:00,37.04257514434269,37.773115162234404,37.016792497575075,37.480899810791016,12916000,0.15,0
2015-04-28 00:00:00-04:00,37.56684758398536,38.314577194213285,37.34339030826559,38.245819091796875,18287700,0.15,0
2015-04-29 00:00:00-04:00,38.15988149257773,38.5896098729961,37.54107157563374,38.44350051879883,36608700,0.15,0
2015-04-30 00:00:00-04:00,37.85905320314353,38.168458027128125,37.394945967166656,37.48948669433594,20196300,0.15,0
2015-05-01 00:00:00-04:00,37.33478427716485,38.142675379360526,37.33478427716485,38.13407897949219,11942000,0.15,0
2015-05-04 00:00:00-04:00,38.2887906575905,38.546626980417926,38.02236121138108,38.32316970825195,9168200,0.15,0
2015-05-05 00:00:00-04:00,38.22004888225113,38.34896544839053,37.72156231318881,37.747344970703125,11410200,0.15,0
2015-05-06 00:00:00-04:00,37.98796758688955,38.02234662436171,36.95661941268298,37.180076599121094,12732100,0.15,0
2015-05-07 00:00:00-04:00,37.102738426503855,37.52387358693524,36.973821908584,37.369171142578125,8787100,0.15,0
2015-05-08 00:00:00-04:00,37.669988767909096,38.02236588407695,37.54966207580667,37.82468795776367,9582900,0.15,0
2015-05-11 00:00:00-04:00,37.79031152494924,37.987986169261376,37.47231019062501,37.67858123779297,7429400,0.15,0
2015-05-12 00:00:00-04:00,37.515283678699895,37.54965945261771,37.19728236106664,37.44652557373047,8515100,0.15,0
2015-05-13 00:00:00-04:00,37.60981511919256,37.87624781533903,37.48949173337363,37.63560104370117,7451200,0.15,0
2015-05-14 00:00:00-04:00,37.91063884340159,38.15988209483408,37.81609807364669,38.14269256591797,7293000,0.15,0
2015-05-15 00:00:00-04:00,38.1684684178675,38.19425106736315,37.764522756746054,37.945011138916016,9369500,0.15,0
2015-05-18 00:00:00-04:00,37.76452215028801,38.16846780492252,37.71295685212481,38.022361755371094,6070900,0.15,0
2015-05-19 00:00:00-04:00,38.17705456448216,38.211433609904645,37.953597326368495,38.09111022949219,8640000,0.15,0
2015-05-20 00:00:00-04:00,38.00518023655338,38.33177145561431,37.89344993604966,38.06534194946289,9055700,0.15,0
2015-05-21 00:00:00-04:00,38.00518212493454,38.2028568026831,37.77312838708164,38.05674743652344,8036400,0.15,0
2015-05-22 00:00:00-04:00,37.98797787277484,38.048139565358184,37.71295205566061,37.755924224853516,7484300,0.15,0
2015-05-26 00:00:00-04:00,37.59263049871125,37.6699817184468,37.085551009015234,37.24025344848633,10440400,0.15,0
2015-05-27 00:00:00-04:00,37.42074393898178,38.030957383591236,37.30901365465835,37.93641662597656,11096800,0.15,0
2015-05-28 00:00:00-04:00,37.88484794734917,38.03095399349919,37.506684950600054,37.69576644897461,7273200,0.15,0
2015-05-29 00:00:00-04:00,37.63561732094123,37.67858950895236,37.26605060262346,37.37778091430664,10358700,0.15,0
2015-06-01 00:00:00-04:00,37.67857321312702,37.86765469288041,37.50668125685725,37.63560104370117,9764300,0.15,0
2015-06-02 00:00:00-04:00,37.394955388937895,37.82468369083984,37.07695736352915,37.55825424194336,8275900,0.15,0
2015-06-03 00:00:00-04:00,37.59262768067567,37.893436135672054,37.46370789792506,37.79030227661133,9220900,0.15,0
2015-06-04 00:00:00-04:00,37.59262937153898,37.9106273637763,37.39495148814578,37.618412017822266,13783100,0.15,0
2015-06-05 00:00:00-04:00,37.669983409275304,37.8332789789059,37.377768041443346,37.652793884277344,12850700,0.15,0
2015-06-08 00:00:00-04:00,37.65280023087593,37.72155506389013,37.02539721624803,37.04258346557617,9112200,0.15,0
2015-06-09 00:00:00-04:00,37.25744291490006,37.27463244061243,36.80193195850618,37.01679611206055,7634200,0.15,0
2015-06-10 00:00:00-04:00,37.19728507408505,37.859067129132434,37.00820682876232,37.7645263671875,15518400,0.15,0
2015-06-11 00:00:00-04:00,37.9622066605203,38.177070868321024,37.84188322872271,38.05674743652344,12519300,0.15,0
2015-06-12 00:00:00-04:00,37.79889819146043,38.15127524130468,37.730143373195624,38.10830307006836,11742300,0.15,0
